date,time,behavior_id,behavior_name,duration_sec,activity,cat_id
2026-08-30,14:54:13,4,靜止,3.3,100,aaaaaaaa
2026-08-30,14:54:23,4,靜止,0.5,5,aaaaaaaa
2026-08-30,14:54:23,4,靜止,0.2,3,aaaaaaaa
2026-08-30,15:13:33,2,搔抓,7.5,2,aaaaaaaa
2026-08-30,15:13:36,3,甩頭,0.8,0,aaaaaaaa
2026-08-30,15:13:38,4,靜止,1.8,42,aaaaaaaa
2026-08-30,15:42:18,4,靜止,1.6,100,aaaaaaaa
2026-08-30,15:42:23,4,靜止,0.5,5,aaaaaaaa
2026-08-30,15:42:23,4,靜止,0.2,3,aaaaaaaa
2026-08-30,15:51:48,4,靜止,1.5,100,aaaaaaaa
2026-08-30,15:51:53,4,靜止,0.5,5,aaaaaaaa
2026-08-30,15:51:53,4,靜止,0.2,3,aaaaaaaa
2026-08-30,16:19:23,4,靜止,1.9,100,aaaaaaaa
2026-08-30,16:19:30,4,靜止,1.5,13,aaaaaaaa
2026-08-30,16:19:31,4,靜止,0.5,18,aaaaaaaa
2026-08-30,16:29:45,4,靜止,2.0,100,aaaaaaaa
2026-08-30,16:29:51,4,靜止,1.5,13,aaaaaaaa
2026-08-30,16:29:53,4,靜止,0.6,18,aaaaaaaa
2026-08-30,16:58:25,4,靜止,1.8,100,aaaaaaaa
2026-08-30,16:58:31,4,靜止,1.6,13,aaaaaaaa
2026-08-30,16:58:33,4,靜止,0.6,18,aaaaaaaa
2026-08-30,16:58:57,4,靜止,1.9,100,aaaaaaaa
2026-08-30,16:59:04,4,靜止,1.5,13,aaaaaaaa
2026-08-30,16:59:05,4,靜止,0.5,18,aaaaaaaa
2026-08-30,18:07:54,4,靜止,1.9,100,aaaaaaaa
2026-08-30,18:08:15,4,靜止,1.9,100,aaaaaaaa
2026-08-30,18:08:17,0,走動,0.5,100,aaaaaaaa
2026-08-30,18:08:23,4,靜止,1.9,8,aaaaaaaa
2026-08-30,18:08:24,4,靜止,0.4,20,aaaaaaaa
2026-08-30,18:17:50,4,靜止,1.8,100,aaaaaaaa
2026-08-30,18:17:51,0,走動,0.5,100,aaaaaaaa
2026-08-30,18:17:58,4,靜止,1.9,8,aaaaaaaa
2026-08-30,18:17:59,4,靜止,0.4,20,aaaaaaaa
2026-08-30,18:18:03,0,走動,0.1,1,aaaaaaaa
