frame,inst_idx,track_id,color_distance,raw_is_target,is_target,reason,bbox
1,0,0,0.764,0,0,,"0,392,697,1405"
2,0,0,0.770,0,0,,"1,375,734,1389"
3,0,0,0.699,0,0,,"2,266,961,1427"
4,0,0,0.731,0,0,,"6,0,905,1407"
5,0,0,0.733,0,0,,"2,117,875,1387"
6,0,0,0.753,0,0,,"2,218,865,1420"
7,0,0,0.791,0,0,,"4,109,867,1432"
8,0,0,0.755,0,0,,"3,142,890,1440"
9,0,0,0.756,0,0,,"1,444,950,1346"
10,0,0,0.739,0,0,,"0,417,927,1432"
11,0,0,0.722,0,0,,"264,424,934,1325"
12,0,0,0.706,0,0,,"0,374,880,1409"
13,0,0,0.710,0,0,,"0,352,894,1400"
14,0,0,0.740,0,0,,"0,309,887,1440"
15,0,0,0.710,0,0,,"0,288,867,1391"
16,0,0,0.713,0,0,,"0,277,866,1440"
17,0,0,0.732,0,0,,"0,280,854,1440"
18,0,0,0.718,0,0,,"48,293,849,1440"
19,0,0,0.725,0,0,,"230,292,845,1434"
20,0,0,0.731,0,0,,"216,296,857,1413"
21,0,0,0.768,0,0,,"233,326,835,1376"
22,0,0,0.670,0,0,,"246,307,837,1359"
23,0,0,0.666,0,0,,"247,306,838,1393"
24,0,0,0.729,0,0,,"355,299,855,1440"
33,0,0,0.732,0,0,,"386,309,923,1440"
34,0,0,0.739,0,0,,"392,296,942,1440"
35,0,0,0.766,0,0,,"395,307,958,1440"
36,0,0,0.796,0,0,,"393,332,917,1440"
37,0,0,0.808,0,0,,"394,334,915,1440"
38,0,0,0.755,0,0,,"396,326,900,1440"
39,0,0,0.780,0,0,,"396,308,877,1440"
40,0,0,0.793,0,0,,"395,323,882,1440"
41,0,0,0.790,0,0,,"393,303,881,1440"
42,0,0,0.771,0,0,,"384,311,875,1440"
43,0,0,0.770,0,0,,"384,323,863,1433"
44,0,0,0.780,0,0,,"389,347,832,1349"
45,0,0,0.793,0,0,,"404,363,848,1289"
46,0,0,0.756,0,0,,"424,371,855,1213"
47,0,0,0.744,0,0,,"400,378,869,1220"
48,0,0,0.617,0,0,,"486,465,938,1208"
49,0,0,0.615,0,0,,"501,471,959,1210"
