frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
1,0,0,0.925,橘貓（目標貓）,0.157,0.373,,"901,254,1360,934"
2,0,0,0.928,橘貓（目標貓）,0.176,0.386,,"903,257,1368,930"
3,0,1,0.947,橘貓（目標貓）,0.302,0.329,,"402,236,1494,1254"
5,0,1,0.818,橘貓（目標貓）,0.334,0.370,,"515,232,1604,1381"
6,0,0,0.894,橘貓（目標貓）,0.166,0.380,,"909,270,1332,854"
7,0,0,0.928,橘貓（目標貓）,0.204,0.360,,"918,271,1401,865"
9,0,0,0.891,橘貓（目標貓）,0.206,0.369,,"909,279,1284,927"
10,0,0,0.898,橘貓（目標貓）,0.181,0.380,,"913,280,1316,927"
11,0,0,0.924,橘貓（目標貓）,0.195,0.364,,"916,278,1377,927"
12,0,0,0.600,橘貓（目標貓）,0.188,0.362,,"926,287,1370,930"
15,0,0,0.840,橘貓（目標貓）,0.178,0.366,,"926,275,1349,928"
15,1,2,0.673,黑白貓,0.789,0.416,,"924,772,2440,1424"
16,0,2,0.898,黑白貓,0.799,0.423,,"989,773,2432,1440"
16,1,0,0.883,橘貓（目標貓）,0.179,0.365,,"926,275,1350,925"
17,0,2,0.881,黑白貓,0.784,0.424,,"923,767,2434,1432"
17,1,0,0.818,橘貓（目標貓）,0.176,0.371,,"926,275,1341,925"
18,0,2,0.786,黑白貓,0.810,0.421,,"1100,770,2416,1427"
19,0,0,0.689,橘貓（目標貓）,0.177,0.352,,"926,275,1367,942"
21,0,0,0.852,橘貓（目標貓）,0.172,0.368,,"923,274,1342,927"
22,0,0,0.882,橘貓（目標貓）,0.171,0.368,,"926,275,1341,926"
23,0,0,0.739,橘貓（目標貓）,0.171,0.367,,"925,275,1344,924"
24,0,0,0.711,橘貓（目標貓）,0.170,0.371,,"924,274,1335,924"
25,0,0,0.755,橘貓（目標貓）,0.170,0.368,,"925,274,1336,926"
26,0,0,0.902,橘貓（目標貓）,0.184,0.348,,"925,273,1364,932"
27,0,0,0.922,橘貓（目標貓）,0.168,0.368,,"922,271,1317,939"
28,0,0,0.929,橘貓（目標貓）,0.175,0.356,,"921,271,1370,939"
29,0,0,0.932,橘貓（目標貓）,0.176,0.357,,"923,270,1362,936"
30,0,0,0.933,橘貓（目標貓）,0.177,0.361,,"923,272,1356,931"
31,0,0,0.925,橘貓（目標貓）,0.169,0.383,,"923,271,1341,929"
32,0,0,0.920,橘貓（目標貓）,0.164,0.391,,"926,273,1326,920"
33,0,0,0.926,橘貓（目標貓）,0.166,0.389,,"925,273,1326,924"
34,0,0,0.914,橘貓（目標貓）,0.165,0.391,,"926,274,1321,922"
38,0,0,0.807,橘貓（目標貓）,0.162,0.387,,"925,275,1334,924"
39,0,0,0.616,橘貓（目標貓）,0.162,0.389,,"924,276,1332,922"
40,0,0,0.747,橘貓（目標貓）,0.159,0.387,,"925,275,1332,923"
41,0,0,0.739,橘貓（目標貓）,0.159,0.388,,"924,275,1331,921"
49,0,0,0.760,橘貓（目標貓）,0.162,0.384,,"923,274,1337,947"
50,0,0,0.902,橘貓（目標貓）,0.166,0.381,,"919,274,1352,920"
51,0,0,0.587,橘貓（目標貓）,0.166,0.379,,"931,276,1357,940"
53,0,0,0.935,橘貓（目標貓）,0.198,0.371,,"926,275,1396,923"
54,0,0,0.853,橘貓（目標貓）,0.183,0.368,,"920,270,1336,931"
