frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
1,0,0,0.905,橘貓（目標貓）,0.131,0.471,,"1001,426,1369,836"
2,0,0,0.904,橘貓（目標貓）,0.130,0.470,,"1001,426,1369,836"
3,0,0,0.905,橘貓（目標貓）,0.132,0.469,,"999,425,1369,839"
4,0,0,0.905,橘貓（目標貓）,0.130,0.470,,"1001,425,1370,837"
5,0,0,0.904,橘貓（目標貓）,0.131,0.469,,"1001,425,1369,837"
6,0,0,0.904,橘貓（目標貓）,0.130,0.471,,"1002,426,1369,837"
7,0,0,0.905,橘貓（目標貓）,0.130,0.472,,"1002,425,1370,837"
8,0,0,0.906,橘貓（目標貓）,0.132,0.470,,"1000,425,1370,841"
9,0,0,0.907,橘貓（目標貓）,0.132,0.469,,"1000,425,1372,841"
10,0,0,0.907,橘貓（目標貓）,0.132,0.469,,"1000,425,1371,841"
11,0,0,0.907,橘貓（目標貓）,0.131,0.470,,"1000,425,1371,841"
12,0,0,0.907,橘貓（目標貓）,0.132,0.470,,"1000,425,1370,841"
13,0,0,0.907,橘貓（目標貓）,0.133,0.469,,"999,425,1373,842"
14,0,0,0.908,橘貓（目標貓）,0.133,0.470,,"999,425,1372,842"
15,0,0,0.908,橘貓（目標貓）,0.133,0.470,,"999,425,1372,841"
16,0,0,0.908,橘貓（目標貓）,0.133,0.470,,"999,425,1373,842"
17,0,0,0.909,橘貓（目標貓）,0.132,0.469,,"999,425,1374,842"
18,0,0,0.908,橘貓（目標貓）,0.134,0.472,,"999,426,1372,841"
19,0,0,0.908,橘貓（目標貓）,0.133,0.472,,"999,426,1374,842"
20,0,0,0.906,橘貓（目標貓）,0.135,0.475,,"999,426,1370,840"
21,0,0,0.907,橘貓（目標貓）,0.135,0.475,,"998,426,1371,840"
22,0,0,0.907,橘貓（目標貓）,0.135,0.476,,"998,426,1371,840"
23,0,0,0.907,橘貓（目標貓）,0.135,0.476,,"998,426,1372,840"
24,0,0,0.905,橘貓（目標貓）,0.134,0.479,,"1001,426,1369,837"
25,0,0,0.900,橘貓（目標貓）,0.129,0.475,,"1001,427,1359,835"
26,0,0,0.904,橘貓（目標貓）,0.128,0.476,,"1002,427,1365,834"
27,0,0,0.903,橘貓（目標貓）,0.128,0.476,,"1002,427,1365,834"
28,0,0,0.903,橘貓（目標貓）,0.128,0.476,,"1002,427,1366,835"
29,0,0,0.905,橘貓（目標貓）,0.128,0.476,,"1001,427,1368,836"
30,0,0,0.906,橘貓（目標貓）,0.129,0.474,,"999,426,1368,839"
31,0,0,0.907,橘貓（目標貓）,0.140,0.473,,"1001,427,1372,841"
32,0,0,0.907,橘貓（目標貓）,0.139,0.473,,"1001,427,1373,842"
33,0,0,0.908,橘貓（目標貓）,0.140,0.473,,"1001,427,1374,842"
34,0,0,0.907,橘貓（目標貓）,0.140,0.473,,"1001,427,1373,842"
35,0,0,0.908,橘貓（目標貓）,0.140,0.473,,"1001,427,1373,842"
36,0,0,0.908,橘貓（目標貓）,0.139,0.473,,"1000,427,1374,842"
37,0,0,0.908,橘貓（目標貓）,0.139,0.473,,"1000,427,1374,842"
38,0,0,0.908,橘貓（目標貓）,0.139,0.472,,"1000,427,1375,842"
