class,video,Baseline_122_無平滑訓練[V14]_accuracy,Kalman_126_Q90R70訓練[kalman Q90/R70][V17]_accuracy,Baseline_122_無平滑訓練[V14]_n_windows,Kalman_126_Q90R70訓練[kalman Q90/R70][V17]_n_windows,Baseline_122_無平滑訓練[V14]_max_true_prob,Kalman_126_Q90R70訓練[kalman Q90/R70][V17]_max_true_prob,Baseline_122_無平滑訓練[V14]_event_detected,Kalman_126_Q90R70訓練[kalman Q90/R70][V17]_event_detected
walk,7月7日 (8)(1).mp4,1.0000,1.0000,37,37,0.9991,0.9997,YES,YES
walk,7月7日 (8)(3).mp4,1.0000,1.0000,62,62,0.9997,0.9999,YES,YES
walk,7月7日 (8).mp4,1.0000,1.0000,27,27,0.9991,0.9990,YES,YES
lick,7月3日(1).mp4,1.0000,1.0000,40,40,0.9260,0.8720,YES,YES
lick,7月3日(2).mp4,1.0000,1.0000,47,47,0.9733,0.9369,YES,YES
lick,7月3日(3).mp4,1.0000,1.0000,36,36,0.9521,0.9459,YES,YES
lick,7月3日(4).mp4,1.0000,1.0000,44,44,0.9240,0.9298,YES,YES
lick,7月3日.mp4,1.0000,1.0000,42,42,0.9618,0.9696,YES,YES
scratch,7月3日 (2)(2).mp4,0.3125,0.3125,32,32,0.9970,0.9988,YES,YES
scratch,7月3日 (2)(4).mp4,0.4651,0.4651,43,43,0.9985,0.9996,YES,YES
scratch,7月3日 (2)(1).mp4,0.5319,0.5319,47,47,0.9981,0.9991,YES,YES
scratch,7月3日 (2).mp4,0.6296,0.6111,54,54,0.9983,0.9993,YES,YES
scratch,7月3日 (2)(3).mp4,0.6383,0.6170,47,47,0.9987,0.9994,YES,YES
shake,7月7日 (5)(5).mp4,0.2903,0.3548,31,31,0.9986,0.9980,YES,YES
shake,7月7日 (5)(3).mp4,0.3448,0.3793,29,29,0.9998,0.9997,YES,YES
shake,7月7日 (5).mp4,0.3529,0.3529,34,34,1.0000,0.9999,YES,YES
shake,7月7日 (5)(2).mp4,0.3571,0.2857,28,28,0.9995,0.9986,YES,YES
shake,7月7日 (5)(4).mp4,0.3750,0.3750,32,32,1.0000,0.9999,YES,YES
shake,7月7日 (5)(1).mp4,0.4000,0.4000,30,30,0.9999,0.9998,YES,YES
stop,stop_1.mp4,1.0000,1.0000,35,35,0.9925,0.9968,YES,YES
stop,stop_19.mp4,1.0000,1.0000,13,13,0.9918,0.9969,YES,YES
stop,stop_2.mp4,1.0000,1.0000,128,128,0.9936,0.9978,YES,YES
stop,stop_3.mp4,1.0000,1.0000,78,78,0.9910,0.9974,YES,YES
