metric,Baseline_122_無平滑[V14],Kalman_126_Q90R70[kalman Q90/R70][V17],Kalman_127_Q45R140強[kalman Q45/R140][V17],Kalman_128_Q180R35弱[kalman Q180/R35][V17],best,delta,primary
overall_accuracy,0.7761,0.7751,0.7751,0.7711,Baseline_122_無平滑[V14],0.0050,YES
overall_top2_accuracy,0.8478,0.8420,0.8661,0.8338,Kalman_127_Q45R140強[kalman Q45/R140][V17],0.0323,
overall_macro_f1,0.7702,0.7726,0.7701,0.7645,Kalman_126_Q90R70[kalman Q90/R70][V17],0.0081,
overall_event_det_rate_ratio,1.0000,1.0000,1.0000,1.0000,=,0.0000,
overall_event_det_rate_prob,1.0000,1.0000,1.0000,1.0000,=,0.0000,

walk_accuracy,1.0000,1.0000,1.0000,1.0000,=,0.0000,YES
walk_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
walk_top2_accuracy,1.0000,1.0000,1.0000,1.0000,=,0.0000,
walk_avg_true_prob,0.9877,0.9938,0.9899,0.9939,Kalman_128_Q180R35弱[kalman Q180/R35][V17],0.0062,
walk_max_true_prob,0.9997,0.9999,0.9997,0.9997,=,0.0002,
walk_prob_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
walk_n_videos_detected,3/3,3/3,3/3,3/3,-,-
walk_prob_videos_detected,3/3,3/3,3/3,3/3,-,-
walk_n_correct,126,126,126,126,-,-
walk_n_windows,126,126,126,126,-,-

lick_accuracy,1.0000,1.0000,1.0000,1.0000,=,0.0000,YES
lick_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
lick_top2_accuracy,1.0000,1.0000,1.0000,1.0000,=,0.0000,
lick_avg_true_prob,0.8920,0.8577,0.8498,0.8858,Baseline_122_無平滑[V14],0.0422,
lick_max_true_prob,0.9733,0.9696,0.9671,0.9755,Kalman_128_Q180R35弱[kalman Q180/R35][V17],0.0084,
lick_prob_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
lick_n_videos_detected,5/5,5/5,5/5,5/5,-,-
lick_prob_videos_detected,5/5,5/5,5/5,5/5,-,-
lick_n_correct,209,209,209,209,-,-
lick_n_windows,209,209,209,209,-,-

scratch_accuracy,0.5336,0.5247,0.5247,0.5291,Baseline_122_無平滑[V14],0.0090,YES
scratch_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
scratch_top2_accuracy,0.6413,0.6502,0.7489,0.6637,Kalman_127_Q45R140強[kalman Q45/R140][V17],0.1076,
scratch_avg_true_prob,0.5277,0.5215,0.5217,0.5260,Baseline_122_無平滑[V14],0.0062,
scratch_max_true_prob,0.9987,0.9996,0.9995,0.9995,=,0.0009,
scratch_prob_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
scratch_n_videos_detected,5/5,5/5,5/5,5/5,-,-
scratch_prob_videos_detected,5/5,5/5,5/5,5/5,-,-
scratch_n_correct,119,117,117,118,-,-
scratch_n_windows,223,223,223,223,-,-

shake_accuracy,0.3533,0.3587,0.3587,0.3315,Kalman_126_Q90R70[kalman Q90/R70][V17],0.0272,YES
shake_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
shake_top2_accuracy,0.5978,0.5598,0.5815,0.5054,Baseline_122_無平滑[V14],0.0924,
shake_avg_true_prob,0.3650,0.3515,0.3553,0.3259,Baseline_122_無平滑[V14],0.0391,
shake_max_true_prob,1.0000,0.9999,1.0000,0.9999,=,0.0000,
shake_prob_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
shake_n_videos_detected,6/6,6/6,6/6,6/6,-,-
shake_prob_videos_detected,6/6,6/6,6/6,6/6,-,-
shake_n_correct,65,66,66,61,-,-
shake_n_windows,184,184,184,184,-,-

stop_accuracy,1.0000,1.0000,1.0000,1.0000,=,0.0000,YES
stop_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
stop_top2_accuracy,1.0000,1.0000,1.0000,1.0000,=,0.0000,
stop_avg_true_prob,0.9632,0.9489,0.9549,0.9675,Kalman_128_Q180R35弱[kalman Q180/R35][V17],0.0186,
stop_max_true_prob,0.9936,0.9978,0.9947,0.9973,Kalman_126_Q90R70[kalman Q90/R70][V17],0.0042,
stop_prob_event_rate,1.0000,1.0000,1.0000,1.0000,=,0.0000,
stop_n_videos_detected,4/4,4/4,4/4,4/4,-,-
stop_prob_videos_detected,4/4,4/4,4/4,4/4,-,-
stop_n_correct,254,254,254,254,-,-
stop_n_windows,254,254,254,254,-,-

