class,video,Baseline_122_無平滑[V14]_accuracy,Kalman_126_Q90R70[kalman Q90/R70][V17]_accuracy,Kalman_127_Q45R140強[kalman Q45/R140][V17]_accuracy,Kalman_128_Q180R35弱[kalman Q180/R35][V17]_accuracy,Baseline_122_無平滑[V14]_n_windows,Kalman_126_Q90R70[kalman Q90/R70][V17]_n_windows,Kalman_127_Q45R140強[kalman Q45/R140][V17]_n_windows,Kalman_128_Q180R35弱[kalman Q180/R35][V17]_n_windows,Baseline_122_無平滑[V14]_max_true_prob,Kalman_126_Q90R70[kalman Q90/R70][V17]_max_true_prob,Kalman_127_Q45R140強[kalman Q45/R140][V17]_max_true_prob,Kalman_128_Q180R35弱[kalman Q180/R35][V17]_max_true_prob,Baseline_122_無平滑[V14]_event_detected,Kalman_126_Q90R70[kalman Q90/R70][V17]_event_detected,Kalman_127_Q45R140強[kalman Q45/R140][V17]_event_detected,Kalman_128_Q180R35弱[kalman Q180/R35][V17]_event_detected
walk,7月7日 (8)(1).mp4,1.0000,1.0000,1.0000,1.0000,37,37,37,37,0.9991,0.9997,0.9994,0.9996,YES,YES,YES,YES
walk,7月7日 (8)(3).mp4,1.0000,1.0000,1.0000,1.0000,62,62,62,62,0.9997,0.9999,0.9997,0.9997,YES,YES,YES,YES
walk,7月7日 (8).mp4,1.0000,1.0000,1.0000,1.0000,27,27,27,27,0.9991,0.9990,0.9980,0.9989,YES,YES,YES,YES
lick,7月3日(1).mp4,1.0000,1.0000,1.0000,1.0000,40,40,40,40,0.9260,0.8720,0.9279,0.8940,YES,YES,YES,YES
lick,7月3日(2).mp4,1.0000,1.0000,1.0000,1.0000,47,47,47,47,0.9733,0.9369,0.9671,0.9439,YES,YES,YES,YES
lick,7月3日(3).mp4,1.0000,1.0000,1.0000,1.0000,36,36,36,36,0.9521,0.9459,0.9616,0.9551,YES,YES,YES,YES
lick,7月3日(4).mp4,1.0000,1.0000,1.0000,1.0000,44,44,44,44,0.9240,0.9298,0.8732,0.9376,YES,YES,YES,YES
lick,7月3日.mp4,1.0000,1.0000,1.0000,1.0000,42,42,42,42,0.9618,0.9696,0.9498,0.9755,YES,YES,YES,YES
scratch,7月3日 (2)(2).mp4,0.3125,0.3125,0.3125,0.3125,32,32,32,32,0.9970,0.9988,0.9986,0.9986,YES,YES,YES,YES
scratch,7月3日 (2)(4).mp4,0.4651,0.4651,0.4651,0.4651,43,43,43,43,0.9985,0.9996,0.9995,0.9995,YES,YES,YES,YES
scratch,7月3日 (2)(1).mp4,0.5319,0.5319,0.5319,0.5319,47,47,47,47,0.9981,0.9991,0.9991,0.9991,YES,YES,YES,YES
scratch,7月3日 (2).mp4,0.6296,0.6111,0.6111,0.6111,54,54,54,54,0.9983,0.9993,0.9992,0.9992,YES,YES,YES,YES
scratch,7月3日 (2)(3).mp4,0.6383,0.6170,0.6170,0.6383,47,47,47,47,0.9987,0.9994,0.9992,0.9993,YES,YES,YES,YES
shake,7月7日 (5)(5).mp4,0.2903,0.3548,0.3548,0.2258,31,31,31,31,0.9986,0.9980,0.9966,0.9950,YES,YES,YES,YES
shake,7月7日 (5)(3).mp4,0.3448,0.3793,0.3448,0.3448,29,29,29,29,0.9998,0.9997,0.9995,0.9994,YES,YES,YES,YES
shake,7月7日 (5).mp4,0.3529,0.3529,0.3529,0.3529,34,34,34,34,1.0000,0.9999,1.0000,0.9999,YES,YES,YES,YES
shake,7月7日 (5)(2).mp4,0.3571,0.2857,0.3214,0.2857,28,28,28,28,0.9995,0.9986,0.9998,0.9981,YES,YES,YES,YES
shake,7月7日 (5)(4).mp4,0.3750,0.3750,0.3750,0.3750,32,32,32,32,1.0000,0.9999,1.0000,0.9999,YES,YES,YES,YES
shake,7月7日 (5)(1).mp4,0.4000,0.4000,0.4000,0.4000,30,30,30,30,0.9999,0.9998,0.9999,0.9998,YES,YES,YES,YES
stop,stop_1.mp4,1.0000,1.0000,1.0000,1.0000,35,35,35,35,0.9925,0.9968,0.9929,0.9957,YES,YES,YES,YES
stop,stop_19.mp4,1.0000,1.0000,1.0000,1.0000,13,13,13,13,0.9918,0.9969,0.9947,0.9963,YES,YES,YES,YES
stop,stop_2.mp4,1.0000,1.0000,1.0000,1.0000,128,128,128,128,0.9936,0.9978,0.9943,0.9973,YES,YES,YES,YES
stop,stop_3.mp4,1.0000,1.0000,1.0000,1.0000,78,78,78,78,0.9910,0.9974,0.9943,0.9960,YES,YES,YES,YES
