model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9776,0.0517,6.847,13.929,0.0000
old,1,Left_Ear,0.9952,0.0051,7.627,15.899,0.0000
old,2,Right_Ear,0.9753,0.0391,7.505,15.233,0.0000
old,3,Chest,0.9996,0.0005,6.974,15.290,0.0000
old,4,Mid_Back,0.9986,0.0009,7.197,14.681,0.0000
old,5,Hip,0.9999,0.0003,7.793,16.664,0.0000
old,6,LF_Elbow,0.9995,0.0010,13.558,33.051,0.0000
old,7,LF_Paw,0.9977,0.0024,27.230,75.652,0.0000
old,8,RF_Elbow,0.9978,0.0021,13.535,34.472,0.0000
old,9,RF_Paw,0.9966,0.0024,27.361,68.668,0.0000
old,10,LH_Knee,0.9976,0.0048,10.069,25.816,0.0000
old,11,LH_Paw,0.9947,0.0076,22.481,57.297,0.0000
old,12,RH_Knee,0.9881,0.0192,11.787,29.621,0.0000
old,13,RH_Paw,0.9895,0.0145,25.084,68.148,0.0000
old,14,Tail_Root,0.9928,0.0142,7.555,16.643,0.0000
old,15,Tail_Mid,0.9925,0.0178,8.355,18.348,0.0000
old,16,Tail_Tip,0.9535,0.0504,10.979,24.405,0.0000
new,0,Nose,0.9789,0.0621,6.982,14.765,0.0000
new,1,Left_Ear,0.9938,0.0095,7.614,16.135,0.0000
new,2,Right_Ear,0.9698,0.0558,7.688,17.443,0.0000
new,3,Chest,0.9993,0.0009,7.153,16.887,0.0000
new,4,Mid_Back,0.9988,0.0008,7.475,15.796,0.0000
new,5,Hip,0.9998,0.0006,7.189,15.794,0.0000
new,6,LF_Elbow,0.9993,0.0012,13.789,36.742,0.0000
new,7,LF_Paw,0.9968,0.0033,27.963,76.995,0.0000
new,8,RF_Elbow,0.9980,0.0027,13.269,38.055,0.0000
new,9,RF_Paw,0.9979,0.0021,27.020,78.190,0.0000
new,10,LH_Knee,0.9965,0.0109,10.905,25.492,0.0000
new,11,LH_Paw,0.9966,0.0075,22.781,53.845,0.0000
new,12,RH_Knee,0.9772,0.0386,11.915,29.952,0.0000
new,13,RH_Paw,0.9866,0.0234,25.068,66.262,0.0000
new,14,Tail_Root,0.9836,0.0515,8.010,18.026,0.0000
new,15,Tail_Mid,0.9863,0.0408,8.380,20.540,0.0000
new,16,Tail_Tip,0.9277,0.0979,11.151,25.440,0.0000
