model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,walk_1.mp4,473,473,0,0.9856,0.0170,11.439,16.396,32.995,402.967,0.0000,0.1332,0.0000,0.0000
old,walk,walk_10.mp4,206,205,1,0.9918,0.0069,19.963,20.663,56.662,212.406,0.0049,0.0000,0.0000,0.0000
old,walk,walk_11.mp4,400,400,0,0.9875,0.0148,13.197,16.887,36.997,332.383,0.0000,0.0000,0.0000,0.0000
old,walk,walk_12.mp4,225,225,0,0.9895,0.0068,11.215,18.719,43.457,192.376,0.0000,0.0000,0.0000,0.0000
old,walk,walk_13.mp4,94,94,0,0.9853,0.0111,24.455,28.081,74.552,316.544,0.0000,0.0106,0.0000,0.0284
old,walk,walk_14.mp4,102,102,0,0.9841,0.0112,13.921,11.533,36.649,93.932,0.0000,0.9706,0.0000,0.0000
old,walk,walk_15.mp4,64,64,0,0.8888,0.0758,10.905,13.858,38.468,101.885,0.0000,0.2188,0.0000,0.0000
old,walk,walk_16.mp4,109,109,0,0.9731,0.0159,17.231,25.045,56.597,248.693,0.0000,0.0275,0.0000,0.0000
old,walk,walk_17.mp4,50,50,0,0.9974,0.0006,16.558,18.179,52.043,131.017,0.0000,0.0000,0.0000,0.0000
old,walk,walk_18.mp4,244,242,2,0.9195,0.0666,27.621,36.898,86.196,503.752,0.0082,0.7273,0.0651,0.3595
old,walk,walk_19.mp4,269,269,0,0.9806,0.0161,9.001,8.910,25.675,88.518,0.0000,0.4721,0.0000,0.0000
old,walk,walk_2.mp4,783,783,0,0.9710,0.0297,13.966,13.289,37.074,205.105,0.0000,0.0460,0.0042,0.0281
old,walk,walk_20.mp4,110,110,0,0.9699,0.0125,20.847,22.157,64.099,192.288,0.0000,0.0000,0.0000,0.0000
old,walk,walk_21.mp4,144,144,0,0.9800,0.0106,21.475,36.043,77.651,390.001,0.0000,0.6528,0.0000,0.0000
old,walk,walk_22.mp4,197,197,0,0.9737,0.0192,17.442,22.228,55.390,305.471,0.0000,0.8832,0.0000,0.0423
old,walk,walk_23.mp4,272,272,0,0.9795,0.0079,10.942,12.757,34.940,123.602,0.0000,0.0331,0.0000,0.0000
old,walk,walk_24.mp4,176,176,0,0.9816,0.0106,7.610,7.924,22.175,97.227,0.0000,0.0000,0.0000,0.0227
old,walk,walk_25.mp4,185,185,0,0.9698,0.0042,10.650,9.367,28.618,86.488,0.0000,0.0000,0.0000,0.0000
old,walk,walk_26.mp4,152,152,0,0.9922,0.0064,10.405,14.754,34.362,138.091,0.0000,0.0000,0.0000,0.0000
old,walk,walk_27.mp4,297,297,0,0.9843,0.0118,12.941,19.451,35.802,441.092,0.0000,0.0034,0.0000,0.0000
old,walk,walk_28.mp4,476,476,0,0.9712,0.0173,14.335,13.411,39.138,219.810,0.0000,0.2857,0.0005,0.0511
old,walk,walk_29.mp4,590,590,0,0.9791,0.0086,13.216,14.974,37.181,236.202,0.0000,0.0000,0.0000,0.0000
old,walk,walk_3.mp4,113,113,0,0.9793,0.0085,12.035,18.967,33.223,405.958,0.0000,0.0000,0.0000,0.0000
old,walk,walk_30.mp4,76,76,0,0.9887,0.0055,16.345,35.293,43.007,532.252,0.0000,0.0000,0.0000,0.0000
old,walk,walk_31.mp4,49,49,0,0.9909,0.0052,14.077,13.579,35.385,131.359,0.0000,0.0000,0.0000,0.0000
old,walk,walk_32.mp4,59,59,0,0.9947,0.0028,7.246,8.193,20.712,91.926,0.0000,0.0000,0.0000,0.0000
old,walk,walk_4.mp4,111,111,0,0.9747,0.0134,17.891,20.156,51.228,176.717,0.0000,0.0180,0.0000,0.0000
old,walk,walk_5.mp4,223,223,0,0.9812,0.0128,14.518,13.974,40.271,135.654,0.0000,0.1256,0.0000,0.0389
old,walk,walk_6.mp4,155,155,0,0.9812,0.0089,13.279,15.790,40.539,164.445,0.0000,0.0000,0.0000,0.0000
old,walk,walk_7.mp4,296,280,16,0.9736,0.0388,11.183,16.790,37.830,220.644,0.0541,0.0250,0.0205,0.0000
old,walk,walk_8.mp4,982,982,0,0.9793,0.0086,8.878,10.066,24.357,191.873,0.0000,0.0000,0.0000,0.0000
old,walk,walk_9.mp4,121,121,0,0.9988,0.0003,11.716,15.469,36.285,277.829,0.0000,0.0000,0.0000,0.0000
new,walk,walk_1.mp4,473,473,0,0.9856,0.0252,10.996,11.615,30.919,192.643,0.0000,0.1247,0.0000,0.0000
new,walk,walk_10.mp4,206,206,0,0.9922,0.0061,19.826,21.088,55.472,293.625,0.0000,0.0000,0.0000,0.0000
new,walk,walk_11.mp4,400,400,0,0.9926,0.0080,12.220,12.790,34.256,141.894,0.0000,0.0000,0.0000,0.0000
new,walk,walk_12.mp4,225,225,0,0.9916,0.0058,11.303,18.633,43.179,201.541,0.0000,0.0000,0.0000,0.0000
new,walk,walk_13.mp4,94,94,0,0.9707,0.0196,23.940,26.329,74.446,261.877,0.0000,0.0319,0.0000,0.0426
new,walk,walk_14.mp4,102,102,0,0.9741,0.0224,13.250,10.966,35.128,104.894,0.0000,0.9804,0.0000,0.0000
